county14,cntyname2,intptlon,intptlat
8073,Lincoln CO,-103.613616,39.173233
8075,Logan CO,-103.187661,40.6394
8077,Mesa CO,-108.54378,39.092852
8079,Mineral CO,-106.935594,37.798624
8081,Moffat CO,-107.625697,40.51524
8083,Montezuma CO,-108.557105,37.370818
8085,Montrose CO,-107.934468,38.479142
8087,Morgan CO,-103.781504,40.256024
8089,Otero CO,-103.65752,38.024096
8091,Ouray CO,-107.74629,38.139835
8093,Park CO,-105.622914,39.311718
8095,Phillips CO,-102.387405,40.599517
8097,Pitkin CO,-106.907819,39.232543
8099,Prowers CO,-102.54707,38.083772
8101,Pueblo CO,-104.645129,38.263685
8103,Rio Blanco CO,-108.280334,40.051033
8105,Rio Grande CO,-106.238878,37.616659
8107,Routt CO,-106.899559,40.453133
8109,Saguache CO,-106.019444,37.915302
8111,San Juan CO,-107.673973,37.804647
8113,San Miguel CO,-107.960186,37.974202
8115,Sedgwick CO,-102.327647,40.960246
8117,Summit CO,-106.054594,39.573132
8119,Teller CO,-105.140482,38.943551
8121,Washington CO,-103.156831,40.092526
8123,Weld CO,-104.788372,40.328083
8125,Yuma CO,-102.487026,40.069473
9001,Fairfield CT,-73.364439,41.207889
9003,Hartford CT,-72.717206,41.761943
9005,Litchfield CT,-73.187411,41.727852
9007,Middlesex CT,-72.571534,41.478565
9009,New Haven CT,-72.941523,41.396052
9011,New London CT,-72.097691,41.443373
9013,Tolland CT,-72.372122,41.842762
9015,Windham CT,-71.995002,41.804226
10001,Kent DE,-75.558641,39.12322
10003,New Castle DE,-75.63431,39.685021
10005,Sussex DE,-75.346681,38.662388
11001,District of Columbia DC,-77.014479,38.91027
12001,Alachua FL,-82.386859,29.665903
12003,Baker FL,-82.185474,30.288433
12005,Bay FL,-85.660206,30.206925
12007,Bradford FL,-82.128203,29.953429
12009,Brevard FL,-80.69111,28.232195
12011,Broward FL,-80.22711,26.134059
12013,Calhoun FL,-85.122199,30.463144
12015,Charlotte FL,-82.119939,26.954793
12017,Citrus FL,-82.453527,28.863598
12019,Clay FL,-81.799367,30.084386
12021,Collier FL,-81.699586,26.199831
12023,Columbia FL,-82.660558,30.126052
12027,DeSoto FL,-81.864074,27.189369
12029,Dixie FL,-83.056309,29.63418
12031,Duval FL,-81.622851,30.300302
12033,Escambia FL,-87.274798,30.485315
12035,Flagler FL,-81.224737,29.523494
12037,Franklin FL,-84.822729,29.786788
12039,Gadsden FL,-84.581418,30.598281
12041,Gilchrist FL,-82.80826,29.704639
12043,Glades FL,-81.185272,26.89603
12045,Gulf FL,-85.259438,29.988579
12047,Hamilton FL,-82.997279,30.501534
12049,Hardee FL,-81.815441,27.548313
12051,Hendry FL,-81.20258,26.705393
12053,Hernando FL,-82.496943,28.50485
12055,Highlands FL,-81.442618,27.460415
12057,Hillsborough FL,-82.401309,27.976529
12059,Holmes FL,-85.758544,30.847685
12061,Indian River FL,-80.440607,27.671828
12063,Jackson FL,-85.216195,30.80024
12065,Jefferson FL,-83.886259,30.504031
12067,Lafayette FL,-83.179597,30.065418
12069,Lake FL,-81.752016,28.735689
12071,Lee FL,-81.858159,26.574993
12073,Leon FL,-84.270362,30.466103
12075,Levy FL,-82.666377,29.379996
12077,Liberty FL,-84.90516,30.399796
12079,Madison FL,-83.430553,30.472631
12081,Manatee FL,-82.53278,27.477055
12083,Marion FL,-82.123382,29.140116
12085,Martin FL,-80.244398,27.1443
12086,Miami-Dade FL,-80.29882,25.774565
12087,Monroe FL,-81.263027,24.739678
12089,Nassau FL,-81.647118,30.607962
12091,Okaloosa FL,-86.567095,30.542829
12093,Okeechobee FL,-80.822166,27.272058
12095,Orange FL,-81.384386,28.532856
12097,Osceola FL,-81.383492,28.266765
12099,Palm Beach FL,-80.146126,26.617075
12101,Pasco FL,-82.516077,28.261606
12103,Pinellas FL,-82.727671,27.899795
12105,Polk FL,-81.799985,28.03114
12107,Putnam FL,-81.72048,29.609299
12109,St. Johns FL,-81.421585,29.977088
12111,St. Lucie FL,-80.353186,27.338068
12113,Santa Rosa FL,-87.037013,30.549594
12115,Sarasota FL,-82.423988,27.208206
12117,Seminole FL,-81.310451,28.697835
12119,Sumter FL,-82.035415,28.825769
12121,Suwannee FL,-82.987605,30.214689
12123,Taylor FL,-83.598019,30.064881
12125,Union FL,-82.356888,30.010769
12127,Volusia FL,-81.123881,29.073726
12129,Wakulla FL,-84.331514,30.185526
12131,Walton FL,-86.190621,30.583729
12133,Washington FL,-85.625363,30.650718
13001,Appling GA,-82.338488,31.77388
13003,Atkinson GA,-82.886387,31.317302
13005,Bacon GA,-82.466081,31.547222
13007,Baker GA,-84.437972,31.307754
13009,Baldwin GA,-83.245662,33.084849
13011,Banks GA,-83.506673,34.351256
13013,Barrow GA,-83.727511,33.993055
13015,Bartow GA,-84.829142,34.208436
13017,Ben Hill GA,-83.248638,31.727639
13019,Berrien GA,-83.252496,31.238588
13021,Bibb GA,-83.687186,32.83205
13023,Bleckley GA,-83.332133,32.401369
13025,Brantley GA,-81.969928,31.216649
13027,Brooks GA,-83.540086,30.842082
13029,Bryan GA,-81.376111,31.979538
13031,Bulloch GA,-81.76246,32.417702
13033,Burke GA,-81.998491,33.101987
13035,Butts GA,-83.969979,33.296103
13037,Calhoun GA,-84.668447,31.527412
13039,Camden GA,-81.635106,30.814166
13043,Candler GA,-82.062305,32.399861
13045,Carroll GA,-85.044625,33.622194
13047,Catoosa GA,-85.17283,34.927796
13049,Charlton GA,-82.02297,30.780002
