GEO.id,GEO.id2,GEO.display-label,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73,VD74,VD75,VD77,VD78,VD79,VD80,VD81,VD82,VD83,VD84,VD85,VD86,VD87
0500000US51660,51660,"Harrisonburg city, Virginia",uSF1,VA,050,00,000,,0133217,3,5,54,51,660,16,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,45483574,75836,Harrisonburg city,F,N,40468,13689,+38443279,-078872759,08,,,,,,,,,,,,
0500000US51670,51670,"Hopewell city, Virginia",uSF1,VA,050,00,000,,0133808,3,5,54,51,670,15,,,,,,9,,,,,,,,,,,,,,,,,,6760,20,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,26530144,1503140,Hopewell city,F,Y,22354,9749,+37290399,-077303371,08,,,,,,,,,,,,
0500000US51678,51678,"Lexington city, Virginia",uSF1,VA,050,00,000,,0134623,3,5,54,51,678,13,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,6458555,0,Lexington city,F,N,6867,2376,+37782938,-079445198,08,,,,,,,,,,,,
0500000US51680,51680,"Lynchburg city, Virginia",uSF1,VA,050,00,000,,0134777,3,5,54,51,680,17,,,,,,9,,,,,,,,,,,,,,,,,,4640,18,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,127921739,947003,Lynchburg city,F,Y,65269,27640,+37403672,-079170205,08,,,,,,,,,,,,
0500000US51683,51683,"Manassas city, Virginia",uSF1,VA,050,00,000,,0136175,3,5,54,51,683,16,,,,,,9,,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,,,,,,,,,,,,,,,,,,25727953,57532,Manassas city,F,Y,35135,12114,+38751415,-077476396,08,,,,,,,,,,,,
0500000US51685,51685,"Manassas Park city, Virginia",uSF1,VA,050,00,000,,0136618,3,5,54,51,685,14,,,,,,9,,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,,,,,,,,,,,,,,,,,,6454537,0,Manassas Park city,F,Y,10290,3365,+38773564,-077453542,08,,,,,,,,,,,,
0500000US51690,51690,"Martinsville city, Virginia",uSF1,VA,050,00,000,,0136715,3,5,54,51,690,14,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,28375210,134337,Martinsville city,F,N,15416,7249,+36686143,-079869171,08,,,,,,,,,,,,
0500000US51700,51700,"Newport News city, Virginia",uSF1,VA,050,00,000,,0137060,3,5,54,51,700,18,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,176881042,131458568,Newport News city,F,Y,180150,74117,+37071046,-076484557,08,,,,,,,,,,,,
0500000US51710,51710,"Norfolk city, Virginia",uSF1,VA,050,00,000,,0139174,3,5,54,51,710,18,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,139155107,110271113,Norfolk city,F,N,234403,94416,+36885747,-076259900,08,,,,,,,,,,,,
0500000US51720,51720,"Norton city, Virginia",uSF1,VA,050,00,000,,0143757,3,5,54,51,720,12,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,19501536,0,Norton city,F,Y,3904,1946,+36936805,-082625146,08,,,,,,,,,,,,
0500000US51730,51730,"Petersburg city, Virginia",uSF1,VA,050,00,000,,0143976,3,5,54,51,730,16,,,,,,9,,,,,,,,,,,,,,,,,,6760,20,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,59260966,789462,Petersburg city,F,Y,33740,15955,+37212950,-077400417,08,,,,,,,,,,,,
0500000US51735,51735,"Poquoson city, Virginia",uSF1,VA,050,00,000,,0144919,3,5,54,51,735,14,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,40186651,162933240,Poquoson city,F,N,11566,4300,+37133153,-076373881,08,,,,,,,,,,,,
0500000US51740,51740,"Portsmouth city, Virginia",uSF1,VA,050,00,000,,0145065,3,5,54,51,740,18,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,85885150,34863486,Portsmouth city,F,N,100565,41605,+36831298,-076345641,08,,,,,,,,,,,,
0500000US51750,51750,"Radford city, Virginia",uSF1,VA,050,00,000,,0147224,3,5,54,51,750,14,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,25429628,961866,Radford city,F,N,15859,6137,+37127585,-080569523,08,,,,,,,,,,,,
0500000US51760,51760,"Richmond city, Virginia",uSF1,VA,050,00,000,,0147527,3,5,54,51,760,18,,,,,,9,,,,,,,,,,,,,,,,,,6760,20,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,155581363,6418229,Richmond city,F,Y,197790,92282,+37538346,-077461507,08,,,,,,,,,,,,
0500000US51770,51770,"Roanoke city, Virginia",uSF1,VA,050,00,000,,0152217,3,5,54,51,770,17,,,,,,9,,,,,,,,,,,,,,,,,,6800,18,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,111070256,71960,Roanoke city,F,N,94911,45257,+37276895,-079955711,08,,,,,,,,,,,,
0500000US51775,51775,"Salem city, Virginia",uSF1,VA,050,00,000,,0154447,3,5,54,51,775,15,,,,,,9,,,,,,,,,,,,,,,,,,6800,18,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,37783681,0,Salem city,F,Y,24747,10403,+37286895,-080055836,08,,,,,,,,,,,,
0500000US51790,51790,"Staunton city, Virginia",uSF1,VA,050,00,000,,0155014,3,5,54,51,790,15,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,51043823,0,Staunton city,F,Y,23853,10427,+38157920,-079076450,08,,,,,,,,,,,,
0500000US51800,51800,"Suffolk city, Virginia",uSF1,VA,050,00,000,,0155553,3,5,54,51,800,17,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,1036048206,75234666,Suffolk city,F,N,63677,24704,+36741347,-076609881,08,,,,,,,,,,,,
0500000US51810,51810,"Virginia Beach city, Virginia",uSF1,VA,050,00,000,,0157205,3,5,54,51,810,19,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,643073238,644994920,Virginia Beach city,F,N,425257,162277,+36834498,-076087179,08,,,,,,,,,,,,
0500000US51820,51820,"Waynesboro city, Virginia",uSF1,VA,050,00,000,,0162298,3,5,54,51,820,14,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,39783124,49217,Waynesboro city,F,Y,19520,8863,+38069874,-078894517,08,,,,,,,,,,,,
0500000US51830,51830,"Williamsburg city, Virginia",uSF1,VA,050,00,000,,0162887,3,5,54,51,830,14,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,22131351,334423,Williamsburg city,F,Y,11998,3880,+37274882,-076708339,08,,,,,,,,,,,,
0500000US51840,51840,"Winchester city, Virginia",uSF1,VA,050,00,000,,0163111,3,5,54,51,840,15,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,24176117,0,Winchester city,F,N,23585,10587,+39178355,-078166771,08,,,,,,,,,,,,
1600000US3209700,3209700,"Carson City, Nevada",uSF1,NV,160,00,000,,0065308,4,8,88,32,,,,,,09700,C7,0,17,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,371286092,31871712,Carson City,A,Y,52457,21283,+39160949,-119753877,59,,,,,,,,,,,,
1600000US5101000,5101000,"Alexandria city, Virginia",uSF1,VA,160,00,000,,0163617,3,5,54,51,,,,,,01000,C7,0,18,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,!,,,,,,,,,,,,,,,,,39310427,595095,Alexandria city,A,Y,128283,64251,+38816242,-077071282,58,,,,,,,,,,,,
1600000US5105544,5105544,"Bedford city, Virginia",uSF1,VA,160,00,000,,0163747,3,5,54,51,,,,,,05544,C7,0,13,,,,,,,,,,,,,,,,,4640,18,99,N,9999,9999,9,00,!,,,,,,,,,,,,,,,,,17839806,33230,Bedford city,A,Y,6299,2702,+37334591,-079522783,58,,,,,,,,,,,,
1600000US5109816,5109816,"Bristol city, Virginia",uSF1,VA,160,00,000,,0163837,3,5,54,51,,,,,,09816,C7,1,14,,,,,,,,,,,,,,,,,3660,19,99,Y,9999,9999,9,00,!,,,,,,,,,,,,,,,,,33408015,688883,Bristol city,A,Y,17367,8469,+36611116,-082176193,58,,,,,,,,,,,,
1600000US5111032,5111032,"Buena Vista city, Virginia",uSF1,VA,160,00,000,,0163858,3,5,54,51,,,,,,11032,C7,0,13,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,17691506,0,Buena Vista city,A,Y,6349,2716,+37732184,-079353325,58,,,,,,,,,,,,
