FIPS,corn_bush,corn_usd,cotton_bales,cotton_usd
13185,391456,546000,3753,1280000
13187,20714,339000,,
13189,,NA,NA,NA
13193,858396,8160000,31768,10728000
13195,3920,NA,,
13197,143345,NA,2332,793000
13199,32230,18000,,
13201,1320371,5608000,41405,13891000
13205,2008340,5963000,71196,25216000
13207,NA,NA,,
13209,302450,NA,12282,4376000
13211,NA,NA,3875,1327000
13213,350216,NA,,
13217,NA,125000,NA,NA
13219,880,NA,NA,NA
13221,NA,NA,,
13223,NA,NA,,
13225,NA,NA,4085,1429000
13227,67364,NA,,
13229,532014,2791000,25834,8856000
13231,7961,NA,,
13233,58180,303000,1234,418000
13235,602252,568000,16386,5653000
13237,,NA,NA,NA
13241,17315,25000,,
13243,1227927,7403000,24199,8077000
13245,NA,NA,,
13247,720,NA,,
13249,37377,82000,606,222000
13251,1196292,7491000,60533,21659000
13253,1872410,8988000,52400,17859000
13257,5600,43000,,
13259,8266,NA,1005,343000
13261,1757503,5537000,48920,19695000
13263,NA,NA,,
13267,721002,1251000,13847,4625000
13269,65029,234000,NA,NA
13271,223384,384000,9522,3256000
13273,2236929,8279000,55895,18941000
13275,799005,1938000,66471,22763000
13277,317610,1617000,53056,18124000
13279,614562,3401000,16944,5535000
13281,NA,NA,,
13283,214896,503000,4015,1396000
13287,391580,1700000,41566,14000000
13289,124830,417000,10299,3775000
13291,58080,NA,,
13293,13779,NA,,
13295,551820,NA,,
13297,NA,50000,NA,NA
13299,498090,1346000,9755,3079000
13303,882332,2459000,6283,2010000
13305,372020,721000,9378,3224000
13307,35649,1584000,16571,5908000
13309,271000,NA,3697,1188000
13311,88700,NA,,
13313,70508,NA,,
13315,387504,1081000,41249,14254000
13317,NA,NA,NA,NA
13319,18560,NA,821,286000
13321,1591364,4978000,97886,34426000
15003,NA,NA,,
15007,159828,NA,,
15009,NA,NA,,
16001,1117056,9583000,,
16003,NA,NA,,
16005,,NA,,
16011,478749,4901000,,
16019,NA,3087000,,
16023,,NA,,
16025,NA,NA,,
16027,6155668,28220000,,
16029,,NA,,
16031,181988,19769000,,
16033,,791000,,
16039,1663021,22691000,,
16041,163952,3995000,,
16045,808314,4281000,,
16047,2732903,42780000,,
16051,NA,3065000,,
16053,775295,39177000,,
16063,684221,7094000,,
16065,,1510000,,
16067,367510,7276000,,
16071,NA,NA,,
16073,3994417,18542000,,
16075,1482235,7305000,,
16077,323510,10506000,,
16083,3918365,40859000,,
16087,684377,2451000,,
17001,10513584,109322000,,
17003,1147934,2833000,,
17005,1975813,30462000,,
17007,8829946,33097000,,
17009,2957894,21348000,,
17011,38283552,184478000,,
17013,1843107,11159000,,
17015,22809394,105802000,,
17017,10120920,58154000,,
17019,33763949,197251000,,
17021,23137650,139496000,,
17023,5605771,60560000,,
17025,1935184,28965000,,
17027,3850537,45670000,,
17029,10374981,66764000,,
17031,375456,1204000,,
17033,3150606,49993000,,
17035,2187911,34080000,,
17037,37819783,145483000,,
17039,12125923,58168000,,
17041,11948683,83782000,,
17043,NA,NA,,
17045,15193645,98126000,,
17047,1434343,22953000,,
17049,3567582,62272000,,
17051,3393927,65254000,,
17053,12213295,88364000,,
17055,1404297,19852000,,
17057,15789335,97537000,,
17059,8012622,47781000,,
17061,12712913,77639000,,
17063,11077737,75289000,,
17065,2361879,36552000,,
17067,19869026,126180000,,
17069,NA,NA,,
17071,13117594,66255000,,
17073,33869144,169593000,,
17075,41728610,200401000,,
17077,1945566,17333000,,
17079,3055106,49686000,,
17081,1601402,20120000,,
17083,5667505,43665000,,
17085,9172125,66817000,,
17087,290329,NA,,
17089,12544144,47662000,,
17091,21750022,103194000,,
17093,7416666,47315000,,
17095,24658112,137753000,,
17097,898279,4466000,,
17099,45464941,199408000,,
17101,4551239,54454000,,
17103,37181227,164205000,,
17105,26667394,191818000,,
17107,21142566,125921000,,
17109,18304382,102246000,,
17111,14974712,55653000,,
17113,38000422,204828000,,
17115,18822679,91843000,,
17117,18424188,106599000,,
17119,6776711,69759000,,
17121,1662497,31738000,,
17123,13417985,71712000,,
17125,15077469,87057000,,
17127,1921543,13540000,,
17129,7191201,48132000,,
17131,19355596,97274000,,
17133,4594551,23202000,,
17135,13989272,123359000,,
17137,16872137,87021000,,
17139,12308839,78559000,,
17141,29688868,141537000,,
17143,15685574,75479000,,
17145,1017096,18069000,,
17147,17085706,86722000,,
17149,13834019,98899000,,
17151,571727,2531000,,
17153,1683040,11615000,,
17155,4092093,16020000,,
17157,3541938,27195000,,
17159,2027918,31945000,,
17161,9461717,48722000,,
17163,5970350,50309000,,
17165,2176373,26844000,,
17167,36678628,185437000,,
17169,4677405,40939000,,
17171,7046235,36956000,,
17173,12685216,95277000,,
17175,12501974,67362000,,
17177,20264297,105596000,,
17179,21650072,102411000,,
17181,1175306,8697000,,
17183,21889899,141955000,,
17185,2215317,24995000,,
17187,25225515,125301000,,
17189,2914588,52895000,,
17191,5107981,62068000,,
17193,8268859,57753000,,
17195,38419195,154745000,,
17197,11738490,56828000,,
17199,642381,9757000,,
17201,8551452,48778000,,
17203,17902222,89669000,,
18001,7828976,42391000,,
18003,10087394,49947000,,
18005,6208834,38122000,,
18007,16289238,88141000,,
18009,3889154,21999000,,
18011,10159851,61628000,,
18013,85991,362000,,
18015,13029557,79854000,,
18017,11188561,58073000,,
18019,1291650,12554000,,
18021,3859641,37957000,,
18023,16280516,75523000,,
18025,189695,1170000,,
18027,7418112,62586000,,
18029,591926,1851000,,
18031,6603405,51379000,,
18033,4249282,23759000,,
18035,8392455,35289000,,
18037,3924599,37003000,,
18039,6396325,36125000,,
18041,2477545,19665000,,
18043,220545,2130000,,
18045,10952370,57741000,,
18047,2841691,20149000,,
18049,11180778,70591000,,
18051,9407551,64593000,,
18053,8382095,37439000,,
18055,3836695,36312000,,
18057,7387570,33477000,,
18059,6935630,40830000,,
18061,1559290,16445000,,
18063,6473822,42286000,,
18065,6684944,37826000,,
18067,9607110,39719000,,
18069,8640889,38398000,,
18071,5468916,32110000,,
18073,20666846,90427000,,
